year,month,day,doy,radn,maxt,mint,rain,tavg,humid,wind,winddir,sunhours,latitude,longitude,altitude
1997,1,23,23,5.15,-1.5,-7.2,0.0,-4.6,65.0,2.1,320,1.4,37.4747,126.6266,68.85
1997,1,24,24,15.41,-1.2,-9.1,0.0,-6.0,42.8,4.2,320,9.1,37.4747,126.6266,68.85
1997,1,25,25,8.84,2.9,-8.0,0.0,-2.1,61.0,3.4,250,4.9,37.4747,126.6266,68.85
1997,1,26,26,13.66,6.7,-2.4,0.0,1.0,75.0,1.7,290,7.9,37.4747,126.6266,68.85
1997,1,27,27,10.37,6.9,-1.9,0.0,1.8,78.9,2.9,160,6.2,37.4747,126.6266,68.85
1997,1,28,28,8.79,2.0,-5.5,0.2,-2.7,60.9,5.8,290,5.1,37.4747,126.6266,68.85
1997,1,29,29,11.07,-0.2,-6.4,0.0,-3.3,50.9,3.6,320,7.2,37.4747,126.6266,68.85
1997,1,30,30,11.92,1.5,-6.6,0.0,-3.3,47.4,1.6,250,6.2,37.4747,126.6266,68.85
1997,1,31,31,4.44,0.9,-5.4,1.7,-2.9,73.4,2.4,320,0.4,37.4747,126.6266,68.85
1997,2,1,32,13.13,0.6,-6.8,0.0,-3.6,76.5,2.0,320,6.9,37.4747,126.6266,68.85
1997,2,2,33,16.61,1.1,-7.4,0.0,-3.5,60.4,2.5,320,8.7,37.4747,126.6266,68.85
1997,2,3,34,13.5,0.8,-9.2,0.0,-4.4,54.9,3.0,340,9.1,37.4747,126.6266,68.85
1997,2,4,35,6.29,1.4,-7.1,0.0,-3.1,58.9,1.5,320,3.0,37.4747,126.6266,68.85
1997,2,5,36,12.33,3.4,-4.1,0.0,-0.6,68.0,2.1,250,7.0,37.4747,126.6266,68.85
1997,2,6,37,16.0,2.1,-5.1,0.0,-2.1,55.6,4.5,290,8.1,37.4747,126.6266,68.85
1997,2,7,38,12.33,2.4,-6.7,0.0,-2.6,59.9,1.7,340,5.0,37.4747,126.6266,68.85
1997,2,8,39,14.43,6.1,-5.7,0.0,-0.9,66.0,1.5,320,9.0,37.4747,126.6266,68.85
1997,2,9,40,11.06,7.8,-4.0,0.0,1.1,72.3,2.0,360,8.6,37.4747,126.6266,68.85
1997,2,10,41,8.92,3.8,-3.7,0.0,-0.5,75.3,4.5,270,4.1,37.4747,126.6266,68.85
1997,2,11,42,11.48,1.7,-5.9,0.0,-2.6,48.0,5.7,320,8.6,37.4747,126.6266,68.85
1997,2,12,43,13.42,1.6,-6.0,0.0,-2.6,41.4,3.9,320,9.2,37.4747,126.6266,68.85
1997,2,13,44,12.75,3.8,-5.5,0.0,-1.0,51.0,2.8,270,9.1,37.4747,126.6266,68.85
1997,2,14,45,15.38,5.3,-3.4,0.0,1.2,51.5,4.1,160,8.0,37.4747,126.6266,68.85
1997,2,15,46,12.71,8.1,-1.4,1.7,3.4,56.9,4.6,160,5.0,37.4747,126.6266,68.85
1997,2,16,47,13.82,-0.3,-6.9,0.0,-4.2,42.5,6.2,320,9.0,37.4747,126.6266,68.85
1997,2,17,48,14.29,1.4,-7.4,0.0,-3.0,48.3,3.4,290,9.8,37.4747,126.6266,68.85
1997,2,18,49,12.05,2.3,-5.3,1.2,-2.3,53.3,4.2,290,7.2,37.4747,126.6266,68.85
1997,2,19,50,15.3,6.4,-4.0,0.0,0.7,64.0,3.4,180,9.4,37.4747,126.6266,68.85
1997,2,20,51,15.92,8.4,0.3,0.0,3.2,71.4,6.5,160,6.7,37.4747,126.6266,68.85
1997,2,21,52,15.24,4.3,-4.4,0.0,-0.2,33.5,6.3,320,9.5,37.4747,126.6266,68.85
1997,2,22,53,15.12,3.1,-6.8,0.0,-1.8,41.3,2.5,340,6.4,37.4747,126.6266,68.85
1997,2,23,54,16.62,7.9,-3.7,0.0,1.2,51.6,1.2,200,8.9,37.4747,126.6266,68.85
1997,2,24,55,15.71,11.5,-1.7,0.0,4.9,68.9,1.2,200,8.1,37.4747,126.6266,68.85
1997,2,25,56,2.02,8.6,2.5,11.6,4.5,89.3,1.9,360,1.5,37.4747,126.6266,68.85
1997,2,26,57,15.99,10.6,0.7,0.0,4.5,79.8,1.5,340,7.7,37.4747,126.6266,68.85
1997,2,27,58,15.71,13.2,0.3,0.0,5.9,77.8,1.3,160,7.2,37.4747,126.6266,68.85
1997,2,28,59,0.61,8.6,1.8,18.5,5.3,86.5,3.2,320,0.0,37.4747,126.6266,68.85
1997,3,1,60,20.38,7.8,-1.0,0.0,2.0,50.8,3.6,340,9.7,37.4747,126.6266,68.85
1997,3,2,61,18.94,4.6,-2.8,0.0,0.2,50.4,3.3,320,9.5,37.4747,126.6266,68.85
1997,3,3,62,19.45,5.6,-4.5,0.0,0.8,55.8,3.3,200,9.6,37.4747,126.6266,68.85
1997,3,4,63,17.95,9.1,0.5,0.0,4.3,79.5,4.6,200,5.3,37.4747,126.6266,68.85
1997,3,5,64,7.17,11.6,3.7,0.0,6.3,79.5,3.5,160,2.1,37.4747,126.6266,68.85
1997,3,6,65,2.07,7.7,4.3,14.8,6.0,88.5,3.3,230,0.0,37.4747,126.6266,68.85
1997,3,7,66,20.91,10.6,2.1,0.0,5.0,59.5,2.8,320,10.3,37.4747,126.6266,68.85
1997,3,8,67,10.9,8.7,1.2,0.0,4.4,75.6,2.4,230,4.2,37.4747,126.6266,68.85
1997,3,9,68,14.31,12.2,1.1,0.0,6.3,64.6,1.2,180,4.8,37.4747,126.6266,68.85
1997,3,10,69,3.71,11.5,5.0,0.4,7.8,73.5,2.2,270,1.1,37.4747,126.6266,68.85
1997,3,11,70,23.88,13.5,2.6,0.0,6.6,50.1,2.9,290,10.6,37.4747,126.6266,68.85
1997,3,12,71,16.1,14.6,2.3,0.0,8.7,55.3,1.5,230,6.7,37.4747,126.6266,68.85
1997,3,13,72,19.26,18.4,5.1,0.0,11.3,56.3,1.8,110,8.3,37.4747,126.6266,68.85
1997,3,14,73,1.51,12.3,4.2,4.5,7.3,70.3,4.6,70,0.0,37.4747,126.6266,68.85
1997,3,15,74,3.19,6.1,2.8,0.8,4.0,78.0,3.9,70,0.0,37.4747,126.6266,68.85
1997,3,16,75,20.84,10.0,1.0,0.0,5.0,54.4,4.2,360,8.5,37.4747,126.6266,68.85
1997,3,17,76,24.46,11.0,0.0,0.0,4.8,52.0,2.4,90,10.9,37.4747,126.6266,68.85
1997,3,18,77,21.75,9.8,-1.8,0.0,5.2,68.5,2.2,180,9.7,37.4747,126.6266,68.85
1997,3,19,78,19.23,13.2,1.1,0.0,6.7,64.6,2.2,290,9.5,37.4747,126.6266,68.85
1997,3,20,79,21.48,15.8,5.0,0.0,8.8,59.6,2.0,90,9.7,37.4747,126.6266,68.85
1997,3,21,80,16.74,8.2,2.3,0.0,5.0,80.6,2.5,160,3.4,37.4747,126.6266,68.85
1997,3,22,81,20.09,12.4,2.1,0.0,6.7,68.6,2.3,270,9.0,37.4747,126.6266,68.85
1997,3,23,82,25.06,10.1,0.9,0.0,4.4,39.9,5.0,320,10.2,37.4747,126.6266,68.85
1997,3,24,83,23.19,9.7,0.7,0.0,4.3,49.4,3.5,230,10.5,37.4747,126.6266,68.85
1997,3,25,84,24.2,11.2,1.7,0.0,5.0,70.1,2.7,200,10.1,37.4747,126.6266,68.85
1997,3,26,85,20.53,13.6,2.8,0.0,6.9,69.6,2.2,230,7.7,37.4747,126.6266,68.85
1997,3,27,86,21.79,13.0,3.6,0.0,7.2,69.8,2.9,160,8.6,37.4747,126.6266,68.85
1997,3,28,87,22.34,16.0,5.3,0.0,9.4,57.1,2.9,160,10.1,37.4747,126.6266,68.85
1997,3,29,88,9.18,12.9,2.2,0.0,6.9,63.0,5.4,110,3.1,37.4747,126.6266,68.85
1997,3,30,89,24.65,5.9,0.3,0.0,2.1,32.3,6.8,290,9.3,37.4747,126.6266,68.85
1997,3,31,90,24.24,8.1,-0.9,0.0,3.5,47.3,2.8,230,9.9,37.4747,126.6266,68.85
1997,4,1,91,17.41,17.1,2.3,3.0,9.4,39.9,1.9,90,7.4,37.4747,126.6266,68.85
1997,4,2,92,2.66,12.0,6.1,19.0,9.0,82.8,3.4,360,0.0,37.4747,126.6266,68.85
1997,4,3,93,15.65,17.2,6.1,0.0,12.0,61.0,2.9,360,4.2,37.4747,126.6266,68.85
1997,4,4,94,3.44,13.5,9.0,0.0,10.7,76.5,1.8,110,0.0,37.4747,126.6266,68.85
1997,4,5,95,10.31,15.0,8.4,1.8,10.3,82.3,1.3,200,0.8,37.4747,126.6266,68.85
1997,4,6,96,3.47,9.9,6.2,20.4,7.3,89.5,1.3,290,0.0,37.4747,126.6266,68.85
1997,4,7,97,25.21,14.7,4.8,0.0,8.9,65.4,2.9,140,10.4,37.4747,126.6266,68.85
1997,4,8,98,16.49,16.0,6.8,0.0,9.7,59.0,2.8,140,3.1,37.4747,126.6266,68.85
1997,4,9,99,26.54,13.2,6.2,0.0,9.1,46.9,5.8,270,10.7,37.4747,126.6266,68.85
1997,4,10,100,26.48,13.8,4.7,0.0,8.3,64.1,3.9,200,11.3,37.4747,126.6266,68.85
1997,4,11,101,23.95,16.8,5.9,0.0,10.1,51.6,4.5,270,10.3,37.4747,126.6266,68.85
1997,4,12,102,27.56,13.7,6.3,0.0,9.4,59.9,4.5,180,11.2,37.4747,126.6266,68.85
1997,4,13,103,25.73,19.4,7.2,0.0,11.9,60.1,4.0,140,10.7,37.4747,126.6266,68.85
1997,4,14,104,23.76,17.2,8.2,0.0,11.3,69.8,2.9,140,7.8,37.4747,126.6266,68.85
1997,4,15,105,22.36,20.2,6.9,0.0,12.1,48.3,2.7,50,10.0,37.4747,126.6266,68.85
1997,4,16,106,12.94,14.4,7.6,1.4,10.1,67.6,3.3,180,3.5,37.4747,126.6266,68.85
1997,4,17,107,12.19,12.5,6.5,0.0,8.6,73.9,2.6,230,2.1,37.4747,126.6266,68.85
1997,4,18,108,26.22,15.2,6.5,0.0,9.7,67.5,2.6,180,10.0,37.4747,126.6266,68.85
1997,4,19,109,25.54,18.7,7.1,0.0,11.9,55.1,1.9,230,10.0,37.4747,126.6266,68.85
1997,4,20,110,23.46,20.1,8.4,0.0,13.4,45.1,1.6,290,8.8,37.4747,126.6266,68.85
1997,4,21,111,25.24,21.9,8.6,0.0,14.0,44.1,2.9,290,9.2,37.4747,126.6266,68.85
1997,4,22,112,26.42,20.1,7.7,0.0,12.8,41.4,4.0,290,10.0,37.4747,126.6266,68.85
1997,4,23,113,24.3,19.6,7.4,0.0,13.3,48.5,2.6,70,8.8,37.4747,126.6266,68.85
1997,4,24,114,24.99,16.2,8.6,0.0,11.3,69.5,2.5,140,9.5,37.4747,126.6266,68.85
1997,4,25,115,28.13,16.9,8.5,0.0,11.4,71.6,1.8,180,10.7,37.4747,126.6266,68.85
1997,4,26,116,26.47,17.8,7.4,0.0,11.6,69.6,1.4,110,9.1,37.4747,126.6266,68.85
1997,4,27,117,28.27,21.2,8.8,0.0,14.1,34.5,1.6,140,11.0,37.4747,126.6266,68.85
1997,4,28,118,17.94,16.6,9.6,0.0,12.5,69.5,1.2,160,9.5,37.4747,126.6266,68.85
1997,4,29,119,8.08,16.0,11.7,3.7,12.8,87.4,2.5,140,0.1,37.4747,126.6266,68.85
1997,4,30,120,26.35,17.4,10.2,0.0,13.1,66.8,1.7,200,10.6,37.4747,126.6266,68.85
1997,5,1,121,29.51,19.9,9.2,0.0,13.8,47.5,1.3,200,12.5,37.4747,126.6266,68.85
1997,5,2,122,12.75,21.8,10.6,0.0,16.0,45.6,1.5,320,2.9,37.4747,126.6266,68.85
1997,5,3,123,19.95,24.1,14.4,0.0,18.4,69.9,2.2,140,8.2,37.4747,126.6266,68.85
1997,5,4,124,5.55,16.7,11.6,3.4,14.3,87.1,3.5,140,2.1,37.4747,126.6266,68.85
1997,5,5,125,27.19,24.3,11.4,0.0,16.6,71.9,2.2,110,9.2,37.4747,126.6266,68.85
1997,5,6,126,3.95,19.0,14.4,3.2,16.4,91.0,2.2,160,0.0,37.4747,126.6266,68.85
1997,5,7,127,1.57,21.7,12.6,79.0,18.1,90.9,3.7,140,0.0,37.4747,126.6266,68.85
1997,5,8,128,5.51,15.8,10.2,1.3,12.2,81.0,2.4,340,2.3,37.4747,126.6266,68.85
1997,5,9,129,27.02,18.3,9.3,0.0,12.8,71.5,4.1,110,11.4,37.4747,126.6266,68.85
1997,5,10,130,25.3,19.9,10.6,0.0,14.7,50.3,2.6,200,9.5,37.4747,126.6266,68.85
1997,5,11,131,22.94,24.9,13.0,0.0,19.0,56.9,1.7,90,5.9,37.4747,126.6266,68.85
1997,5,12,132,2.35,21.1,16.0,49.5,18.4,73.3,3.8,90,0.0,37.4747,126.6266,68.85
1997,5,13,133,1.27,18.2,14.2,66.1,15.9,93.8,3.6,140,0.0,37.4747,126.6266,68.85
1997,5,14,134,9.64,18.0,12.6,3.0,14.5,88.0,2.4,180,0.9,37.4747,126.6266,68.85
